"21_batch2.hdf5, XP04, channel_4"
Bout Number,Bout Start [idx],Bout End [idx],Bout Start [s],Bout End [s]
1.0,496.0,514.0,497.00900268554682,515.01202392578114
2.0,527.0,546.0,528.0009765625,547.00097656249989
3.0,678.0,698.0,679.05401611328125,699.05102539062489
4.0,734.0,751.0,735.06402587890625,752.06500244140614
5.0,797.0,816.0,798.08801269531239,817.0789794921875
6.0,1132.0,1149.0,1133.157958984375,1150.1590576171875
7.0,1210.0,1251.0,1211.1569824218752,1252.1619873046873
8.0,1275.0,1296.0,1276.1650390625,1297.1619873046875
9.0,1331.0,1351.0,1332.1700439453123,1352.1590576171875
10.0,1700.0,1739.0,1701.18994140625,1740.1929931640627
11.0,1878.0,1911.0,1879.2080078124998,1912.2070312499995
