"44_batch3.hdf5, XP04, channel_1"
Bout Number,Bout Start [idx],Bout End [idx],Bout Start [s],Bout End [s]
1.0,3.0,44.0,3.99099993706,44.9889984131
2.0,78.0,102.0,79.0049972534,103.003997803
3.0,261.0,273.0,262.074005127,274.083007813
4.0,844.0,874.0,845.190002441,875.187988281
5.0,1074.0,1086.0,1075.20800781,1087.22302246
6.0,1296.0,1315.0,1297.24401855,1316.23999023
7.0,1445.0,1451.0,1446.2869873,1452.28601074
8.0,1506.0,1517.0,1507.32495117,1518.32202148
9.0,1578.0,1589.0,1579.31994629,1590.31799316
10.0,1737.0,1750.0,1738.33496094,1751.34594727
11.0,1781.0,1805.0,1782.34997559,1806.34802246
12.0,1983.0,1993.0,1984.34899902,1994.3659668
